weight,일인가구비,방범cctv,건물가점,파출소거리,백미터반경주택
mean,0.183283438,0.122942006,0.060721334,0.236541204,0.396512018
sd,0.024315441,0.015161579,0.004472385,0.036847624,0.042077221
