시설명,시설주소,경도,위도,시설종류상세명,동이름,일인가구비율,cctv개수,건물가점,파출소거리역수값,백미터반경주택수
영등포종합사회복지관,서울특별시 영등포구 신길로13길 4 (신길동),126.9075628,37.4972751,일반사회복지시설,영등포동,0.58699101,5,4,0.163794,74
영등포구치매안심센터,영등포구 당산로 29길 9당산동3가,126.8939868,37.525991,건강기타,영등포동,0.58699101,1,0,0.122966,0
영등포구정신건강증진센터,서울특별시 영등포구 당산로 123영등포보건소 내 지하1층 (당산동3가)(당산동3가),126.8959184,37.5261892,정신보건기타,영등포동,0.58699101,0,1,0.1532133,0
꿈더하기지원센터,서울특별시 영등포구 영등포로64길 15울림동 1층 (신길동),126.9170873,37.5135545,장애인기타,대림2동,0.380264072,0,1,0.108599,22
영등포구 발달장애인평생교육센터,서울특별시 영등포구 영등포로 146 (당산동1가),126.8975126,37.520879,장애인기타,영등포동,0.58699101,4,3,0.1313805,8
신길7동주민센터,,126.921494,37.506369,,영등포동,0.58699101,7,4,0.0596317,51
신길5동주민센터,,126.905189,37.501598,,영등포동,0.58699101,8,5,0.1099117,50
신길3동주민센터,,126.907744,37.507269,,영등포동,0.58699101,8,4,0.0756443,126
신길1동주민센터,,126.921433,37.511118,,영등포동,0.58699101,1,5,0.065561,93
양평2동주민센터,,126.894038,37.53650136,,영등포동,0.58699101,0,5,0.1014243,20
양평동복지관,,126.8874353,37.526829,,영등포동,0.58699101,4,3,0.1324765,8
양평1동주민센터,,126.888228,37.523646,,영등포동,0.58699101,3,6,0.3551317,92
문래동목화마을활력소,,126.891351,37.515449,,대림2동,0.380264072,8,6,0.1644256,19
문래동주민센터,,126.899522,37.517111,,대림2동,0.380264072,0,3,0.133627,0
도림동자치회관,,126.908024,37.509951,,대림2동,0.380264072,10,4,0.1195876,132
도림동주민센터,,126.895976,37.509424,,대림2동,0.380264072,5,5,0.0847442,71
당산2동주민센터,,126.902077,37.534672,,대림2동,0.380264072,8,3,0.7247745,0
당산1동주민센터,,126.8974513,37.52512054,,대림2동,0.380264072,3,3,0.1389109,0
여의동주민센터,,126.934597,37.517642,,영등포동,0.58699101,4,3,0.0510959,1
영등포동자치회관,,126.903622,37.525353,,영등포동,0.58699101,3,5,0.4126875,49
영등포동주민센터,,126.910681,37.520349,,영등포동,0.58699101,5,7,0.1530086,14
영등포본동주민센터,,126.909331,37.514633,,영등포동,0.58699101,4,5,0.1652301,54
대림3동주민센터,,126.8983658,37.49829959,,대림2동,0.380264072,1,6,6.4756929,24
대림2동주민센터,,126.8982219,37.49288096,,대림2동,0.380264072,6,6,1.3581583,43
대림1동주민센터,,126.905948,37.495462,,대림2동,0.380264072,8,4,0.1066471,114
대림1동자치회관,,126.9062234,37.4953778,,대림2동,0.380264072,8,4,0.1066471,90
신길7동주민센터,,126.921494,37.506369,,영등포동,0.58699101,7,4,0.0596317,51
